Date,Open,High,Low,Close,Volume,Return,Log_Return,EMA_20,EMA_50,EMA_200,RSI_14,BB_Mid,BB_Upper,BB_Lower,BB_Width,ATR_14,ATR_Pct,Donchian_High_20,Donchian_Low_20,Momentum_10,Volatility_20,ZScore_20,Signal_Trend,Signal_MR,Signal_BO
2018-01-01,0.6095465602508088,0.6100775272849551,0.6090155932166624,0.6095465602508088,9801.0,,,0.6095465602508088,0.6095465602508088,0.6095465602508088,,,,,,,,,,,,,0,0,0
2018-01-02,0.6095465602508088,0.610649261902293,0.6089981054252113,0.6101008070766955,3224.0,0.0009092772595724,0.0009088641174266,0.609599345662798,0.6095682954204514,0.6095520751445987,,,,,,,,,,,,,0,0,0
2018-01-03,0.6101008070766955,0.6123966324075094,0.6097550416505743,0.6120508669813882,9117.0,0.0031962913047705,0.0031911940244251,0.6098328238836161,0.6096656511679392,0.6095769387449649,,,,,,,,,,,,,0,0,0
2018-01-04,0.6120508669813882,0.6125174086282025,0.6113462275465661,0.6118127691933803,3659.0,-0.00038901633974,-0.0003890920262258,0.6100213901035937,0.6097498518748193,0.6095991858141033,97.27558780484313,,,,,,,,,,,,0,0,0
2018-01-05,0.6118127691933803,0.6172577946221749,0.6106740666134577,0.6161190920422522,8240.0,0.0070386285898369,0.007013973070048,0.6106021236215612,0.6099996259990323,0.6096640605029406,98.22009539330496,,,,,,,,,,,,0,0,0
2018-01-08,0.6161190920422522,0.6161270716996341,0.6158504475702298,0.6158584272276116,6849.0,-0.0004230753729389,-0.000423164894575,0.6111027239649947,0.610229382909957,0.6097256959927384,96.04945416791344,,,,,,,,,,,,0,0,0
2018-01-09,0.6158584272276116,0.6176180370552534,0.614912855661978,0.6166724654896197,9483.0,0.0013217944677197,0.0013209216664369,0.6116331755387685,0.6104820528150418,0.6097948180772845,96.3227646047136,,,,,,,,,,,,0,0,0
2018-01-10,0.6166724654896197,0.6168577971921224,0.6128400987624969,0.6130254304649996,2483.0,-0.0059140552379366,-0.0059316125199964,0.6117657712460286,0.6105817931150401,0.6098269634741772,72.21710642296875,,,,,,,,,,,,0,0,0
2018-01-11,0.6130254304649996,0.615716125351821,0.612678305756982,0.6153690006438034,7635.0,0.0038229575191133,0.0038156685879601,0.6121089359505786,0.6107695267436192,0.6098821081226312,76.31842375221416,,,,,,,,,,,,0,0,0
2018-01-12,0.6153690006438034,0.6175896811963772,0.6149639242353224,0.6171846047878963,1718.0,0.002950431598266,0.002946087617273,0.6125923329827041,0.61102109843163,0.6099547697809921,78.91524652410122,,,,,,,,,,,,0,0,0
2018-01-15,0.6171846047878963,0.6179458435309698,0.6130396326009486,0.6138008713440222,1942.0,-0.0054825305388765,-0.0054976147678585,0.6127074318742582,0.6111301091340767,0.6099930394482859,64.6800970986537,,,,,,,,,0.0069794686257649,,,0,0,0
2018-01-16,0.6138008713440222,0.6174128058296479,0.6132528671949186,0.6168648016805443,4017.0,0.0049917334424975,0.0049793160468593,0.6131033718558092,0.6113549990378598,0.6100614151918905,69.96354276647791,,,,,,,,,0.0110866835863707,,,0,0,0
2018-01-17,0.6168648016805443,0.6177467528214058,0.6162251888557295,0.6171071399965911,5269.0,0.0003928548287834,0.0003927776815296,0.6134846831073123,0.6115805731931042,0.6101315219063651,70.34144169750492,,,,,,,,,0.0082611973742316,,,0,0,0
